Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME
2020,4094,24950,47665,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,SOUTHERN WISCONSIN BANCSHARES CORPORATION
2020,12721,17803,46864,,JORDAN,,MATYAS,,1818 ADVOCACY GROUP,YESHIVA GEDOLA OF THE MIDWEST
2020,4094,24950,42966,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,CED FOOD LLC
2020,4094,24950,13737,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,SOUTH CHICAGO PACKING CO
2020,4094,24950,47664,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,TRACY BAIM AND MARCY BAIM
2020,4094,24950,46685,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,CHANDLER CONDOMINIUM ASSOCIATION
2020,4094,24950,45921,MS.,DANIELLE,,CASSEL,,VEDDER PRICE PC,"CHICAGO ASHLAND WEBSTER, LLC"
2020,22901,22901,47666,MR.,GHIAN,,FOREMAN,,MAKTUB DEVELOPMENT LLC,MIDWAY TECHNOLOGY CENTRE OWNER LLC
2020,24806,21035,41871,,JOE,,DOOLEY,,GOOGLE LLC AND ITS AFFILIATES,GOOGLE LLC AND ITS AFFILIATES
2020,18883,21038,47669,MR.,PERICLES,,ABBASI,,THE PERICLES ORGANIZATION,ASHLEY WENDELA AND BRENDAN METZGER
2020,24321,24967,48212,MR.,DANIEL,T,FAHNER,,CONSENSUS GROUP,"LANDMARK CHICAGO INTERESTS, LLC"
2020,16541,25119,47668,,LEAARON,,FOLEY,,"NEUTRON HOLDINGS, INC DBA LIMEBIKE","NEUTRON HOLDINGS, INC DBA LIMEBIKE"
2020,24920,4774,12642,,KATRINA,,STEELE,,COMED,COMED
2020,6561,11521,47670,MR.,RICHARD,,TOTH,,"DALEY AND GEORGES, LTD.","LINCOLN PROVISION, INC."
2020,3877,16921,47671,MR.,GYATA,M,KIMMONS,,"RIDGE STRATEGY GROUP, LLC","WENDELLA SIGHTSEEING, INC."
2020,12141,23665,47997,MR.,RICHARD,,FRIEDMAN,,"NEAL & LEROY, LLC","ATRIUM MALL, LLC"
2020,24922,25267,47988,,ART,,TURNER,,GR CONSULTING,TOBACCO FREE KIDS ACTION FUND
2020,11701,11521,47670,MR.,MICHAEL,,SYNOWIECKI,,"DALEY AND GEORGES, LTD.","LINCOLN PROVISION, INC."
2020,24810,25122,47673,,SUSAN,,DONOVAN,,THE NATURE CONSERVANCY,THE NATURE CONSERVANCY
2020,13961,7162,22501,MRS.,MARIA,,AROSTEGUY,,KPMG LLP,KPMG LLP
2020,24809,25121,47672,,RYAN,,MCCREERY,,RYAN MCCREERY,NGPL
2020,24811,25123,47674,,MARGARET,,VAUGHN,,MARGARET VAUGHN,CHICAGO ROOFING CONTRACTORS ASSOCIATION
2020,24811,25123,47675,,MARGARET,,VAUGHN,,MARGARET VAUGHN,ILLINOIS FIREFIGHTERS ASSOCIATION
2020,24703,24847,47296,,ANNE,,EVENS,,ELEVATE ENERGY,ELEVATE ENERGY
2020,3877,16921,47676,MR.,GYATA,M,KIMMONS,,"RIDGE STRATEGY GROUP, LLC","BIRD RIDES, INC."
2020,24766,25071,34381,,ADRIENNE,,JONES,,"AMJ CONSULTING GROUP, LLC",CHICAGO ASSOCIATION OF REALTORS
2020,4269,24542,47507,MR.,PEDRO,,CERVANTES,,"TRISTAN & CERVANTES, LLC","PALO ALTO NETWORKS, INC."
2020,23424,24993,34381,MRS.,MARGARET,,HOULIHAN SMITH,,"CAPITOLHALL PARTNERS, LLC",CHICAGO ASSOCIATION OF REALTORS
2020,24812,24847,47296,,GUSTAVO,,SANDOVAL,,ELEVATE ENERGY,ELEVATE ENERGY
2020,3845,24991,47679,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"L-EVATION BOTANICALS, LLC"
2020,3845,24991,47681,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"1650 FULLERTON, LLC"
2020,3845,24991,47687,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"GREEN ENGINE, LLC"
2020,3845,24991,47686,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,CUSTOM STRAINS LLC
2020,3845,24991,47678,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,3244 - 50 WEST BRYN MAWR LLC
2020,3845,24991,47683,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,DIAMOND STAR UNDERGROUND LLC - INFUSER
2020,5721,25270,47998,MR.,GENE,C,SCHULTER,,TANIUM INC,TANIUM INC
2020,4273,4384,48213,MR.,JACK,L,PARRINO,ESQ,THOMPSON COBURN LLP,THE GRAND AUGUSTA LLC
2020,3845,24991,47559,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,FLORIN PAVEL
2020,3845,24991,47677,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,FOSTER AND LINCOLN LLC
2020,3845,24991,47684,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"URBAN SYNERGY, LLC"
2020,3845,24991,47680,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,2017 BAKER MENDELL LLC
2020,3845,24991,47685,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"FUTURE OF THE LEAF ENTERPRISES, LLC"
2020,3845,24991,47682,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"DIAMOND STAR UNDERGROUND, LLC"
2020,3845,24991,45965,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"DL3 REALTY, LP"
2020,10921,11521,47999,,WILLIAM,,O'DONAGHUE,,"DALEY AND GEORGES, LTD.",DON BIGOTES MICHES LLC
2020,24321,24967,48210,MR.,DANIEL,T,FAHNER,,CONSENSUS GROUP,"LANDMARK CHICAGO INTERESTS, LLC"
2020,4316,4384,48213,MR.,BERNARD,I,CITRON,,THOMPSON COBURN LLP,THE GRAND AUGUSTA LLC
2020,24677,24847,47296,MR.,EBEN,,SALING,,ELEVATE ENERGY,ELEVATE ENERGY
2020,3740,23542,47689,MR.,MICHAEL,J,KASPER,,"KASPER & NOTTAGE, P.C.",SECURITIES INDUSTRY & FINANCIAL MARKETS ASSOCIATION
2020,24813,24847,47296,,ELENA,,SAVONA,,ELEVATE ENERGY,ELEVATE ENERGY
2020,24814,25124,47690,,MICHAEL,,REEVER,,JOHNSON & JOHNSON,JOHNSON & JOHNSON
2020,24815,24847,47296,MS.,EMILY,E.,ROBINSON,,ELEVATE ENERGY,ELEVATE ENERGY
2020,21261,21741,47688,,ROBERT,,GREENLEE,,"TUSK STRATEGIES, INC.","UNQORK, INC."
2020,8162,12085,29581,MR.,GERY,J.,CHICO,,"CHICO & NUNES, P.C.",JOEL KENNEDY CONSTRUCTING CORP.
2020,8162,12085,47691,MR.,GERY,J.,CHICO,,"CHICO & NUNES, P.C.","MINDFUL ILLINOIS, LLC"
2020,6104,12085,47691,MR.,LAWRENCE,S.,ADELSON,,"CHICO & NUNES, P.C.","MINDFUL ILLINOIS, LLC"
2020,24816,24847,47296,,ANTONIA,,ORNELAS,,ELEVATE ENERGY,ELEVATE ENERGY
2020,24884,25211,48001,MR.,JOSEPH,A,MOORE,,"JOE MOORE STRATEGIES, LLC",U.S. INDIA FRIENDSHIP COUNCIL
2020,19861,21085,48000,,XIMENA,,CASTRO,ESQ.,"ACOSTA EZGUR, LLC",KATMERKA RAMIC
2020,5861,23601,48003,MR.,THOMAS,S,MOORE,,"ANDERSON & MOORE, P.C.","FISHER, DOUG"
2020,3877,16921,34381,MR.,GYATA,M,KIMMONS,,"RIDGE STRATEGY GROUP, LLC",CHICAGO ASSOCIATION OF REALTORS
2020,3877,16921,38601,MR.,GYATA,M,KIMMONS,,"RIDGE STRATEGY GROUP, LLC",STARBUCKS CORPORATION
2020,25081,25404,48187,,MATTHEW,,JOHANSON,,DFS SERVICES LLC,DFS SERVICES LLC
2020,24924,25272,48005,MR.,THOMAS,,CUCULICH,,CHICAGOLAND ASSOCIATED GENERAL CONTRACTORS,CHICAGOLAND ASSOCIATED GENERAL CONTRACTORS
2020,5861,23601,48004,MR.,THOMAS,S,MOORE,,"ANDERSON & MOORE, P.C.","PRICE, MELINDA"
2020,5861,23601,48002,MR.,THOMAS,S,MOORE,,"ANDERSON & MOORE, P.C.","HARRIS, JODI"
2020,13282,15961,47698,,MADELEINE,R,HILL,,MADELEINE HILL,S/POINT VENTURES
2020,4278,24542,48006,MR.,HOMERO,,TRISTAN,,"TRISTAN & CERVANTES, LLC",IBERIAN CAFES LLC SERIES IBERIAN CAFES CHICAGO
2020,24669,25127,47694,MR.,ERIC,L,SMALL,,MELVIN SECURITIES,"MELVIN SECURITIES, LLC"
2020,24922,25273,47988,,ART,,TURNER,,GR CONSULTING,TOBACCO FREE KIDS ACTION FUND
2020,20481,25128,45690,MS.,DEBBIE,,LAKAMP,,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION
2020,20567,21062,41726,,LINDSAY,,ANDERSON,,CARPENTER LIPPS & LELAND LLP,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION
2020,13282,15961,47699,,MADELEINE,R,HILL,,MADELEINE HILL,SUITE HOME
2020,24915,25267,47988,,LARRY,C,LUSTER,,GR CONSULTING,TOBACCO FREE KIDS ACTION FUND
2020,3847,24345,48024,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","HUDSON MICHIGAN AVENUE, LLC"
2020,24742,18401,36842,MR.,ROBERT,,GALLO,,AARP ILLINOIS,AARP
2020,18181,24923,13163,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,"APPLE, INC"
2020,4624,5042,47703,MS.,WILLIAM,F,SMITH,,CORNERSTONE GOVERNMENT AFFAIRS,R4
2020,24818,25129,47704,,DIANE,,FOOTE,,ILLINOIS LIBRARY ASSOCIATION,ILLINOIS LIBRARY ASSOCIATION
2020,14921,24401,47705,MR.,PATRICK,,CAREY,,COZEN O'CONNOR PUBLIC STRATEGIES,THE AZEK COMPANY
2020,14921,24401,41834,MR.,PATRICK,,CAREY,,COZEN O'CONNOR PUBLIC STRATEGIES,"AMAZON.COM, INC."
2020,24780,25131,47706,,MATTHEW,,SWENTKOFSKE,,MOLSON COORS BEVERAGE COMPANY USA LLC,MOLSON COORS BEVERAGE COMPANY USA LLC
2020,18181,25130,42341,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,UNITED CENTER JOINT VENTURE
2020,18181,25130,47394,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,PUBLIC MEDIA INSTITUTE
2020,18181,25130,16141,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,ILLINOIS HOTEL AND LODGING ASSOCIATION
2020,18181,25130,45645,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,BROOKFIELD PROPERTIES RETAIL
2020,18181,25130,47044,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,"RJB PROPERTIES, INC."
2019,24582,25132,47269,MS.,GINA,M,CARUSO,,CARUSO CONSULTS LLC,OAK STREET COUNCIL
2020,18181,25130,47650,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,TOBACCO-FREE KIDS ACTION FUND
2020,18181,25130,47260,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,"SCIENTIFIC GAMES INTERNATIONAL, INC."
2020,18181,25130,47298,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,ACREAGE HOLDINGS
2020,18181,25130,45661,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,TALMAN CONSULTING
2020,4269,24542,47078,MR.,PEDRO,,CERVANTES,,"TRISTAN & CERVANTES, LLC","WHEELS LABS, INC."
2020,18181,25130,47271,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,SHIELD COMPLIANCE LLC
2020,18181,25130,13163,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,"APPLE, INC"
2020,21841,25047,39907,,WILL,,COUSINEAU,,CORNERSTONE GOVERNMENT AFFAIRS,ABBVIE INC.
2020,9621,20301,47708,MR.,MICHAEL,,EZGUR,,"ACOSTA EZGUR, LLC","DAC DEVELOPMENTS, LLC"
2020,9621,20301,47707,MR.,MICHAEL,,EZGUR,,"ACOSTA EZGUR, LLC","WMS PROPERTY, LLC"
2020,18883,21038,48026,MR.,PERICLES,,ABBASI,,THE PERICLES ORGANIZATION,STANLEY C JOHNSON
2020,3847,24345,47495,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","PDI MEDICAL III, LLC"
2020,3847,24345,48022,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",SWEDISH HOSPITAL
2020,24926,25275,48025,MR.,HAFIZ,K,KHAN,,F.H.BLACK & COMPANY INCORPORATED,F.H.BLACK & COMPANY INCORPORATED
2020,3847,24345,47725,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","SEAWAY CHATHAM, LLC"
2020,3847,24345,48021,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","63RD MARYLAND, LLC"
2020,3847,24345,48023,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","HILLS PROPERTY, LLC"
2020,24927,24141,28642,MR.,CHRISTOPHER,,JESSUP,,ILLINOIS HEALTH AND HOSPITAL ASSOCIATION,ILLINOIS HOSPITAL ASSOCIATION
2020,25083,25403,48214,MR.,ATTORNEY OTIS,C.,WRIGHT,,ATTORNEY OTIS WRIGHT,OTIS WRIGHT
2020,25082,25405,48187,,MATTHEW,,TOWSON,,DFS SERVICES LLC,DFS SERVICES LLC
2020,18181,25130,47709,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,FARMERS FRIDGE
2020,24824,25133,28787,,JAMES,,SIFUENTES,,SAINT ANTHONY HOSPITAL,SAINT ANTHONY HOSPITAL
2020,24822,25133,28787,MR.,GUY,A.,MEDAGLIA,,SAINT ANTHONY HOSPITAL,SAINT ANTHONY HOSPITAL
2020,4126,21049,47710,MR.,MICHAEL,A,ALVAREZ,,MICHAEL ALVAREZ,"SERVERFARM, LLC"
2020,24825,25133,28787,,BOB,,ENKEMA,,SAINT ANTHONY HOSPITAL,SAINT ANTHONY HOSPITAL
2020,24826,25134,29581,,IRENE,S,CAMINER,,"CAMINER LAW, LLC",JOEL KENNEDY CONSTRUCTING CORP.
2020,13761,23461,47712,MR.,MICHAEL,,AXELROD,,GPG STRATEGIES,JC RESTORATION
2020,24828,25135,47711,MS.,CHRISTINA,,WARDEN,,WOMEN EMPLOYED,WOMEN EMPLOYED
2020,4126,21049,47713,MR.,MICHAEL,A,ALVAREZ,,MICHAEL ALVAREZ,"UNQORK, INC"
2020,24830,25136,47716,MR.,BRIAN,A,BERNARDONI,,BRIAN BERNARDONI,GREATER ILLINOIS TITLE COMPANY
2020,7402,24302,47714,MR.,DEAN,T,MARAGOS,,"MARAGOS & MARAGOS I, CHTD.",CHRIS SPINA
2020,24830,25136,47715,MR.,BRIAN,A,BERNARDONI,,BRIAN BERNARDONI,ASSOCIATION FORUM
2020,4397,12107,47718,MR.,WARREN,E,SILVER,,SILVER LAW OFFICE PC,ALEJANDRA AREVALO
2020,4157,16041,47717,MS.,BRIDGET,M,O'KEEFE,,DASPIN & AUMENT LLP,HAYMARKET CENTER
2021,4126,21049,48713,,MICHAEL,A,ALVAREZ,,MICHAEL ALVAREZ,"NORTHSIDE ENTERTAINMENT HOLDINGS, LLC"
2020,3847,24345,47701,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",THE WHALE
2020,18822,24542,47721,MR.,JOHN,A,ESCOBAR,,"TRISTAN & CERVANTES, LLC","CWAZ, LLC"
2020,3847,24345,44634,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","3750 LAKE SHORE DRIVE, INC."
2020,3847,24345,44636,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",5000 EAST END CONDOMINIUM ASSOC.
2020,3847,24345,45813,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","SUNRUN, INC."
2020,3847,24345,47692,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",AQUINNAH INVESTMENT TRUST
2020,3847,24345,47211,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",GRACE AND PEACE FELLOWSHIP
2020,3847,24345,19482,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","PACE PROPERTY GROUP, LLC"
2020,3847,24345,41888,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",CHICAGO LIONS CHARITABLE ASSOCIATION
2020,3847,24345,44632,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",HUDSON MICHIGAN AVENUE LLC
2020,3847,24345,47696,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",EAST WATER PLACE HOMEOWNER'S ASSOCIATION
2020,4003,25023,48129,MR.,SCOTT,E,SAEF,,SIDLEY AUSTIN LLP,PRAIRIE SHORES
2020,3847,24345,47695,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","DISTINCTIVE SCHOOLS, INC."
2020,3847,24345,47724,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",ALBANY PARK THEATRE PROJECT
2020,3847,24345,47212,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","MAIN THIRD BOWL, LLC"
2020,3847,24345,47693,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",CHICAGO HOPE ACADEMY
2020,3847,24345,47702,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",TOWER 10 GLADES LLC
2020,18822,24542,47722,MR.,JOHN,A,ESCOBAR,,"TRISTAN & CERVANTES, LLC","CWAZ, LLC"
2020,3847,24345,44630,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",BY THE HAND CLUB FOR KIDS
2020,3847,24345,15165,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",NATIONAL SHOPPING PLAZAS INC
2020,3847,24345,46877,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",NORTH LAWNDALE EMPLOYMENT NETWORK
2020,18822,24542,47723,MR.,JOHN,A,ESCOBAR,,"TRISTAN & CERVANTES, LLC","CWAZ, LLC"
2020,3847,24345,47649,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",SMASH INTERACTIVE LLC
2020,3847,24345,47697,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","FLATIRON GLADES, LLC"
2020,3847,24345,47700,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP",RAJA FOODS LLC D/B/A PATEL BROTHERS
2019,24832,24847,47296,,RUTH,,KERZEE,,ELEVATE ENERGY,ELEVATE ENERGY
2020,24830,25136,47726,MR.,BRIAN,A,BERNARDONI,,BRIAN BERNARDONI,SALVATION ARMY
2020,24930,25276,47660,MS.,JANE,,WOYCIEHOWSKY,,CERTENT,THE CITY OF CHICAGO FINANCE DEPARTMENT
2020,10921,11521,47728,,WILLIAM,,O'DONAGHUE,,"DALEY AND GEORGES, LTD.",DOM'S MARKET AND KITCHEN
2020,24833,24847,47296,MS.,LINDY,,WORDLAW,,ELEVATE ENERGY,ELEVATE ENERGY
2020,4068,10279,47733,MS.,DONNA,J,PUGH,,FOLEY & LARDNER LLP,"INNER VOICE, INC"
2020,17201,18001,47729,MR.,THOMAS,,RAINES,,"THOMAS R. RAINES ATTORNEY AT LAW, LLC","HRP EXCHANGE 55, LLC"
2020,4068,10279,47731,MS.,DONNA,J,PUGH,,FOLEY & LARDNER LLP,FOCAL POINT LIGHTS
2020,14921,24401,36641,MR.,PATRICK,,CAREY,,COZEN O'CONNOR PUBLIC STRATEGIES,HERTZ GLOBAL
2020,24321,25140,47732,MR.,DANIEL,T,FAHNER,,RKF CONSULTING,GOTHAMS
2020,3845,24991,47737,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,2207 W 18TH LLC
2020,3845,24991,47707,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"WMS PROPERTY, LLC"
2020,3845,24991,41853,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"CITY TECHNOLOGY CENTER, LLC"
2020,3845,24991,47615,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,2423 STATE STREET QOZB LLC
2020,3845,24991,47734,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"2401 STATE STREET QOZB, LLC"
2020,3845,24991,47736,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,2434 S ALBANY LLC
2020,3845,24991,47735,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,1124 W WILSON INVESTORS LLC
2020,3845,24991,46897,MR.,ROLANDO,R,ACOSTA,,ROLANDO ACOSTA,"EDGEWATER ACQUISITIONS, LLC"
2020,24931,5122,48027,,FARZIN,,PARANG,,BUILDING OWNERS AND MANAGERS ASSOCIATION OF CHICAGO (BOMA/CHICAGO),BUILDING OWNERS AND MANAGERS ASSOCIATION OF CHICAGO (BOMA/CHICAGO)
2020,15381,13661,38664,MS.,ELIZABETH,A.,REYES,,LIGHTEN-GALE LLC D/B/A LIGHTENGALE GROUP,OVER THE RAINBOW ASSOCIATION
2020,3827,13661,38664,MS.,MARGARET,M,JARES,,LIGHTEN-GALE LLC D/B/A LIGHTENGALE GROUP,OVER THE RAINBOW ASSOCIATION
2020,4160,24345,48216,MR.,EDWARD,J,KUS,ESQ,"TAFT, STETTINIUS & HOLLISTER LLP",CHICAGO HISTORY MUSEUM
2020,25084,10406,28843,MR.,ELLIOTT,,MALLEN,,UNITE HERE LOCAL 1,UNITE HERE LOCAL 1
2020,25085,10406,28843,MS.,SHEILA,,GAINER,,UNITE HERE LOCAL 1,UNITE HERE LOCAL 1
2020,3847,24345,48215,MRS.,GRAHAM,C,GRADY,,"TAFT, STETTINIUS & HOLLISTER LLP","CHI 8, LLC"
2020,4126,21049,16141,MR.,MICHAEL,A,ALVAREZ,,MICHAEL ALVAREZ,ILLINOIS HOTEL AND LODGING ASSOCIATION
2020,14921,24401,38601,MR.,PATRICK,,CAREY,,COZEN O'CONNOR PUBLIC STRATEGIES,STARBUCKS CORPORATION
2020,12721,17803,48217,,JORDAN,,MATYAS,,1818 ADVOCACY GROUP,THE LASALLE PRIVATE RESIDENCES CONDOMINIUM ASSOCIATION
2020,16501,25286,48218,MR.,REYAHD,,KAZMI,,"REYAHD KAZMI - KAZMI ADVISORS, LLC",C&G CONSTRUCTION SUPPLY CO.
2020,14081,10279,47731,MR.,MICHAEL,D,NOONAN,,FOLEY & LARDNER LLP,FOCAL POINT LIGHTS
2020,20201,24345,47738,MR.,PATRICK,,WARTAN,,"TAFT, STETTINIUS & HOLLISTER LLP",FARE CONCEPTS LLC
2020,4246,10183,46569,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,"WEBSTER HOUSE ASSOCIATES, L.P."
2020,20282,10279,47733,MS.,MEAGHAN,E,O'CONNOR,,FOLEY & LARDNER LLP,"INNER VOICE, INC"
2020,4246,10183,47742,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,"ALLGREENS ILLINOIS, LLC"
2020,4246,10183,45681,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,CHICAGO HOUSING AUTHORITY
2020,20201,24345,47741,MR.,PATRICK,,WARTAN,,"TAFT, STETTINIUS & HOLLISTER LLP","PARSON'S WEST TOWN, LLC"
2020,14081,10279,47733,MR.,MICHAEL,D,NOONAN,,FOLEY & LARDNER LLP,"INNER VOICE, INC"
2020,20201,24345,47740,MR.,PATRICK,,WARTAN,,"TAFT, STETTINIUS & HOLLISTER LLP",THE WHALE
2020,4246,10183,31541,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,THE ONNI GROUP
2020,4246,10183,47744,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,"NEW CONGRESS, LLC"
2020,20282,10279,47731,MS.,MEAGHAN,E,O'CONNOR,,FOLEY & LARDNER LLP,FOCAL POINT LIGHTS
2020,4246,10183,25601,MR.,JOSEPH,P.,GATTUSO,,TAFT STETTINIUS & HOLLISTER LLP,"CHICK-FIL-A, INC."
2020,9621,20301,47747,MR.,MICHAEL,,EZGUR,,"ACOSTA EZGUR, LLC","2401 STATE STREET QOZB, LLC"
2020,9621,20301,47745,MR.,MICHAEL,,EZGUR,,"ACOSTA EZGUR, LLC","2423 STATE STREET QOZB, LLC"
